"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5839777093.95123","5156523262.60518","3001096397.25066","2736999950.50702","2884798023.90046","3083849041.96219","3264729146.7809","3373153403.74995","3619393601.80914","3738833590.68989","3959424772.65728","4339529550.80371","4912347451.42022","5600076094.6952","6188084084.57212","7048227772.27278","7978593838.17516","9071661194.12856","9697605816.5624","8330243396.35924","8513508751.09706","8913643662.28574","9555426006.05632","9870755064.25618","10226102246.6276","10553337518.414","10574444193.4325","11367527508.1135","11958638938.496","12867495497.6469","11941035821.9185","12633615899.6682","14225451502.9981","15406163977.6894","16315127652.4443",
"American Samoa","ASM","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","744923664.122138","752116030.534351","755198473.282443","752116030.534351","721291603.053435","734648854.961832","715126717.557252","685329770.992367","687384732.824428","687384732.824428","657587786.259542","641148091.603054","652450381.679389","673000000","661697709.923664","615461068.70229","631900763.358779","628818320.610687","656560305.343511","651422900.763359","662725190.839695","","",
"Antigua and Barbuda","ATG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","387163203.126708","404134550.442489","436786384.138376","472436818.308071","490457675.789685","490048110.846921","516333403.780737","568819882.561907","612299589.432117","682675279.820441","727910265.016782","765857188.329832","806082316.637007","830360009.985309","848435719.914615","858265278.54095","903580713.993905","963907435.965129","921883147.37367","982773021.141193","1036543047.19835","1085584792.26449","1125835518.38058","1195677311.61138","1141296594.96992","1153020391.45654","1223085251.30795","1293621842.2095","1377366902.51519","1552404719.92894","1697014056.19323","1696776362.25323","1493793051.15554","1376672104.84443","1349706641.55924","1395234173.14327","1386849062.30615","1417336052.73314","1437485185.18519","1496714858.20258","1537316639.9839","1640501407.75149","1692541753.29144","1373179832.3414","1485407940.31841","1620696017.30498","1660036192.7894","1731874615.11616",
"Australia","AUS","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","204556496020.616","209634264251.724","212347394915.947","225547290344.075","241290865664.326","255720398204.709","261804000641.526","278310424154.664","292486739692.211","313093232453.285","335559847086.201","348984184857.752","362631046662.097","372130520889.694","387414341096.21","392589303732.447","402751234563.422","417230643180.121","420958560166.314","438009144460.798","451305594857.179","466379040331.542","481887942318.357","471169061968.518","492813360779.094","518826292325.462","539404649863.998","553211370887.306","585064279420.793","607725922300.842","629466776079.67","627060575115.855","629746209994.416","655230327244.458","681311039099.666","707786283507.272","735134359250.411","763901984857.931","799524373774.542","839721933537.843","872651653770.258","890323770708.066","925754967998.798","954367849882.364","994683066030.821","1026057036344.3","1054328458936.16","1094111663603.91","1133349428616.57","1154798699180.01","1180435002406.5","1208849019421.68","1256196122893.84","1288884775424.06","1322334997273.41","1351296372254.31","1388583854795.63","1420237898460.73","1461119016244.31","1492847874023.89","1491062566266.52","1522541404227.63","1587133480804.53","1641762491418.85","1665257959985",
"Austria","AUT","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","83828673166.5112","88471087748.0584","90814399431.3997","94572542282.4671","100364499310.514","103857359442.09","109717886300.462","113018252763.066","118072782527.902","125482873518.636","134420862375.869","141296447063.219","150067933491.104","157406909711.428","163612107622.726","163016991844.158","170480635017.674","179141019237.625","178763652138.156","188339484583.623","191600555442.365","191324085936.135","195172100328.629","200974738307.012","201077788420.254","206102076591.173","210845294931.656","213706819792.775","220750339732.747","229331070530.385","239296977478.175","247532688033.224","252714845320.178","254046171814.293","260148661734.735","267089386116.812","273007464944.44","278865754830.707","288606201090.647","299463348050.583","309014800203.266","313084486481.847","317731814841.85","321358930178.288","329602607297.434","337250591306.488","348276446349.075","361424664731.668","366677269701.416","353527252121.64","359922497999.326","370459113959.145","372786509411.403","371851835129.742","374662287024.534","379546097300.633","387581921834.297","396388751744.592","406235924915.185","413365268699.049","387247796560.501","405817601897.046","427236226728.298","423156280851.067","418190370366.673",
"Azerbaijan","AZE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20567069381.0762","20423099859.2725","15807479224.4068","12155951726.0881","9761229085.32423","8609404140.35719","8721326342.92474","9227163283.71826","10149879576.246","10900970796.7945","12110978461.8648","13309965292.1306","14566281781.2554","16053251525.9443","17538787528.5628","22442902280.1195","30178119967.2975","37862439810.9789","41872616381.686","45795872339.3796","47988960053.705","47234094853.6774","48274633161.2178","51095520684.588","52524961528.705","53076235354.746","51450192629.2354","51529227660.8621","52302373072.2866","53599371992.657","51348755377.7597","54232727552.2244","56789627316.8954","57558829937.6264","59902281351.5774",
"Burundi","BDI","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","798536036.456817","688768194.430732","751192343.690224","782257207.623602","831328498.740123","864309175.839385","904179696.716675","1029151061.69467","1026085388.70651","1011109250.30161","1226735079.77048","1260431391.16348","1179713806.9813","1260984889.48285","1251819552.42584","1260556254.40312","1360677964.1039","1516740284.27566","1502474189.35523","1527489707.74691","1542627981.94595","1730262074.40731","1712032036.30219","1775639624.64819","1778401525.63402","1987953781.69961","2052565867.06033","2165520539.64117","2274468405.67354","2305162407.677","2385838991.89422","2505055464.22991","2530356483.61119","2372462238.99867","2281596935.33521","2100894457.97115","1932822901.37672","1902091017.30555","1992440340.53429","1972316693.16467","1955416620.30264","1995616214.18073","2084351676.53824","2058844882.28283","2158362397.86831","2177787659.46859","2295688883.37796","2374934882.81749","2490397480.72402","2585349995.27363","2717827465.44662","2827426575.50415","2953153932.04472","3098572839.6491","3229972475.40545","3104003546.26497","3085379496.76838","3100806433.20295","3150727414.31633","3207836406.88248","3218331064.79216","3318099327.75908","3379450965.7308","3469531569.62627","3590591566.67407",
"Belgium","BEL","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","107240692072.238","112579587419.489","118447239466.498","123601570921.194","132200142535.762","136907339919.271","141227991789.41","146690898041.98","152843304453.86","162976509539.664","173329872813.631","180238502024.186","189783220555.824","201894619758.016","211111631064.729","206961299090.215","218660295776.641","220029447215.922","226282457072.755","231579894681.772","241871430005.578","241195922803.815","242631006628.437","243387634461.423","249390504366.821","253509919187.379","258130801744.636","264085000894.302","276558286707.311","286152555458.327","295130312078.184","300540270315.165","305140504242.68","302205439885.582","311957523163.918","319396952810.439","323617566812.874","335894554716.996","342484242936.573","354617493817.972","367797580320.048","371841895842.954","378188843981.109","382114274683.528","395760365336.901","404948883847.345","415284559725.448","430554259966.472","432478429044.827","424233482718.834","435731531598.616","444146182962.729","445104666468.521","446464436962.24","454346946885.841","461044767544.531","466547349432.055","473426439010.72","482317238282.145","494099718080.569","470417598101.755","499619240040.636","520899825783.061","527159436181.933","532530656429.071",
"Benin","BEN","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1651120631.15842","1702986960.85679","1644635648.37988","1722427374.56795","1836981870.40947","1934229170.81725","2003394550.8974","2024999131.02193","2102806394.23342","2163314605.62541","2208695701.75521","2175635020.67241","2315449323.53487","2401263703.34438","2481449394.1221","2359973874.1976","2380844452.60757","2499497734.05871","2530868380.92301","2696279545.70683","2879134857.71386","3165730597.06271","3236486776.18013","3095770068.30471","3341259668.03857","3592867374.72505","3670873612.85602","3615810400.28745","3738937613.84945","3632222333.49652","3958255490.40473","4125523427.98874","4247544481.09719","4495438486.40154","4586264345.70312","4863513136.03406","5073825257.93663","5364793325.18214","5577293439.98873","5875201745.41607","6219354272.65514","6551040876.0552","6855207726.28555","7091272067.48876","7405393050.93385","7532259620.47862","7829312267.7691","8298002249.61043","8704320326.21926","8906198943.30981","9094481753.64081","9364019722.08608","9814543622.24071","10520350021.8969","11189200116.267","11388160996.7738","11768488383.3269","12435945492.7429","13268812302.6618","14179807374.6843","14725558723.2985","15779238957.3117","16765906414.7949","17831007125.9788","19159972710.8241",
"Burkina Faso","BFA","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1166782785.98608","1213966641.5058","1288368214.22299","1272031494.32608","1301069673.81082","1350049032.11506","1357307072.34754","1477066550.51673","1522423925.19439","1553269467.6992","1555087097.58311","1577065763.72581","1613519619.00794","1620769604.83282","1755073486.55337","1807697309.80526","1961982376.4042","1969248648.05364","2059988179.56406","2135478949.53865","2152496130.24403","2244091371.14198","2458675800.42369","2467182443.50436","2423298751.1015","2629699950.55815","2838902120.30277","2832192750.18472","2996335113.95777","3060764327.26471","3042310107.50399","3318247161.44233","3325969079.69165","3441093672.50713","3486344304.54047","3685636779.12882","4091600230.31209","4350059854.87114","4667950033.01846","5013156038.3976","5107828181.20084","5445629583.60137","5682675869.68484","6126066307.13183","6400419254.55947","6954815456.4763","7389711520.7284","7693530569.65392","8139754707.2893","8380850241.73524","9088720451.70527","9690626654.34607","10315931043.8746","10913490102.1529","11385699970.03","11832159315.6298","12537116611.6541","13314855313.1302","14194244128.6065","15030172259.3791","15332394848.5201","16396850182.5889","16642350339.7932","17134994111.3648","17989191217.9315",
"Bangladesh","BGD","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","22255159273.9147","23603412614.6943","24890514014.5217","24777039582.3854","27490816335.8173","27932389835.4113","28649361769.9512","28111938729.2916","30779608227.8708","31155383509.3056","32906270043.7907","31103176561.8473","26756903051.3733","27646752077.9687","30298616455.7662","29059944148.1974","30705132551.2905","31525897954.6263","33755988819.6807","35376828058.6038","35666614469.1264","38246717277.6993","39063027610.8276","40579081837.574","42528220939.5754","43949520315.5326","45783701931.1458","47510847150.9471","48658831252.413","50039078963.9421","52852405164.9835","54694431891.2081","57671277832.2235","60388495684.6196","62737684522.6707","65950655693.3725","68933550573.3629","72028595646.2459","75757535399.2044","79295530763.5123","83492876905.7611","87732050538.1162","91094928770.2862","95412434316.9993","100411600213.555","106974447115.636","114111680586.242","122166366935.51","129513195397.247","136047297736.462","143627564998.204","152912195327.661","162884301114.117","172679520662.469","183145728910.398","195146608978.131","209028320490.615","222803809377.443","239111739541.452","257958323968.613","266852772253.895","285368829855.224","305629528154.311","323279976841.364","336932927922.21",
"Bulgaria","BGR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","30380971166.4286","31869687928.219","32613706696.7783","33732456606.3304","34878160477.2539","35814095245.1096","37321009834.0932","39580615539.2572","43912592027.1856","42467919536.3795","38595959167.569","35336393321.266","32766593697.1642","32281577704.9751","32868460441.3038","33809162070.0929","35569061580.5974","30548353200.8565","31705867020.232","29043813497.958","30376118719.9264","31537611700.0659","33389478557.9651","35138136847.8786","37425778955.007","40066672613.315","42792243672.1494","45639805449.7998","48437324160.5999","46816058446.5322","47544216522.1298","48537973978.2645","48901433558.017","48636020243.4761","49097794444.0662","50765918159.1476","52302414125.4377","53738599947.3683","55108646393.7011","57196630543.6142","55357337083.979","59664478253.8097","62074193826.5485","63245418926.902","65023138713.8977",
"Bahrain","BHR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","3916965157.58936","3979916383.27079","4420574963.04069","5036098060.16118","5462767480.23746","4980141415.73861","6497904126.31634","7343778517.94162","7627414969.64117","7892030438.49177","8095666863.54271","7665244757.71484","7086042175.65203","7537874924.95327","7915043505.51334","7538424480.61697","7627603583.58375","8420798792.09029","9010254004.35388","9043051972.09625","9444382363.28063","10504986339.9206","11207769729.3404","12650210449.4817","12618584748.6334","13114494169.3527","13653500708.2059","14075803380.4845","14750034868.1901","15384286108.5506","16199663949.4689","16603189276.6705","17159155482.6073","18239571633.5594","19512869154.2447","20833694755.6476","22181009695.3903","24020694053.4652","25520789027.3601","26168987898.7969","27303230073.1892","27829679463.9972","28888050241.9569","30416985616.3829","31727610007.9685","32523297872.3404","33764059498.7261","35436675410.8102","36164044588.1584","36906448210.9064","34724774104.3146","36235315986.0804","38474716945.1891","39966811156.113","41172709122.6258",
"Bahamas, The","BHS","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","2184283332.14316","2417282962.81213","2669936698.62276","2950922311.08965","3260815400.60951","3600774855.61991","3927434583.90651","4304394227.52717","4666900132.13826","5086065354.47381","4798720488.40341","4876772096.58822","4706214993.38831","5062361052.14682","4214201484.44851","3590367915.85118","3776535133.5458","4122274251.56943","4706792959.88286","5937115492.78238","6322747882.0128","5739385550.15066","6123861119.46759","6344139580.22408","7243177029.751","7592963093.87004","7729408658.36661","7960094354.53329","8143949263.75366","8691819590.03131","8553076499.13349","8195405227.0485","7881883255.50996","7906144212.06037","8155102049.92344","8512193746.87652","8871708834.26866","8985954549.1644","9409803923.48902","10082050093.2065","10500295805.8692","10776034605.578","11067521626.8539","10927526700.1623","11023948326.6897","11398330894.6195","11685180402.7959","11854159786.3595","11578710831.2195","11095250090.5948","11265968541.5708","11335048163.7823","11847406407.9084","11508181986.1643","11720773315.8347","11837600000","11700725733.1649","12095184868.2213","12385290297.053","12281371357.6813","9814098450.91068","11540093873.1804","12795362392.8778","13185464197.9178","13630935977.0689",
"Bosnia and Herzegovina","BIH","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3519825382.25294","3190791225.59104","2985402939.16842","2920280897.21983","3245365558.78904","3763595298.41927","5803437611.28488","7929882641.93997","9247541638.9754","10128052806.5906","10676417585.1095","10935140618.7269","11484898712.3276","11929035686.0139","12683578944.5033","13177880591.4628","13891331517.2397","14704964354.8142","15505477767.974","15039622521.6786","15169815910.7044","15315372000.5534","15189504687.2909","15546436275.2992","15725819000.0295","16404348871.4437","16936219727.6767","17485647794.2627","18154910824.6593","18679105433.9912","18115912632.4361","19454671753.5435","20276983961.3676","20681387156.8456","21194295295.9242",
"Belarus","BLR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29435120618.0738","29081900434.8763","26290037655.8868","24291994260.9621","21449829995.3573","19219047589.8169","19757181801.976","22009501596.4106","23858297857.6017","24669479794.0627","26100310428.2051","27333629973.4611","28712684736.8819","30734974394.6102","34254050013.8492","37473931237.761","41221322382.2424","44766358828.1695","49332527213.9653","49431189907.6087","53262115561.6184","56218149512.2046","57178272623.3733","57749323055.2672","58702836383.7944","56454769844.7632","55028470324.337","56421892170.3189","58198729040.8946","59040547744.6036","58643356621.6418","60073587234.5107","57275121700.3422","59638602548.3294","62030020172.7382",
"Belize","BLZ","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","141975428.530253","148921259.780202","156207459.16944","163949779.062234","172147070.967349","180634852.894681","189252662.074986","198550878.538982","213178569.394306","224064265.938538","234836588.851222","244134805.315218","269081241.311354","283482184.405103","321922326.699477","333488430.527401","333374974.64713","355032994.602523","383154473.50633","411956277.445107","461839032.844641","467073042.391181","466574565.29151","456555175.588135","465577611.09217","470263295.829071","491647963.404932","544386840.550063","597674042.50483","675436470.053415","752750268.212297","841429344.243664","948552072.962837","1006774198.20434","1006574807.36447","1013952268.4396","1025168003.18218","1068585358.56347","1110158348.67599","1214788691.89681","1363484410.72849","1431576382.54347","1508840332.99239","1654694732.35595","1733803048.07364","1772285480.1682","1852241206.95534","1914351453.57427","1882149832.93556","1874822219.57041","1895708410.0466","1891072573.01966","1961756625.75293","2049139661.32515","2131737316.74054","2193050000","2194246345.03921","2154467872.48551","2178394773.26969","2271360752.35822","1955575509.71701","2302615266.50756","2524886205.2506","2553897572.45142","2762085934.95625",
"Bermuda","BMU","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1684353374.14037","1763181111.49654","1841995308.02833","1861704657.7204","2068540044.96173","2167002551.42304","2478262917.22143","2807253305.25257","2866353374.41263","2964853490.3864","3152003710.10026","3260353838.30773","3319453907.46778","3368703965.45467","3398254000.03469","3526304151.64902","3841504521.91668","4068054788.44426","4127154858.66484","4215804962.40492","4550705357.13996","4659055484.2869","4412805194.35247","4501455299.15307","4523125324.79457","4432505217.75933","4728005565.68065","4905305774.22134","5104276008.40352","5126931035.69259","5127916036.27965","4946675890.08297","4943720834.23487","5092455993.93519","5122991040.76808","5348359015.58225","5487441777.63634","5739864145.64664","5963718852.73555","6165450410.7722","6739895068.97791","7226679645.63174","7119884453.30351","7362722827.73814","7533631299.4758","7659759815.30576","8084406664.52899","8354841362.08309","8198943712.90485","7737613934.72433","7543950875.42882","7261600082.73073","6876350478.40565","6857116738.50431","6603330213.03728","6654541000","6610806937.02849","6849550930.14215","6819905984.64909","6840850356.57848","6373786302.28159","6667453991.67615","7099253361.41199","7448338953.24063","7605153959.3341",
"Bolivia","BOL","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","4727739746.33892","4826516221.02489","5095783596.59694","5442175895.49446","5657500838.17811","5935478857.98033","6361087691.42415","6762931564.58161","7339771963.48403","7668160504.84732","8069284227.95154","8477859236.6012","9153331417.37735","9678655892.40561","9963166545.29281","10691575418.0281","11184945381.0081","11740973137.016","11981979454.6341","11997956711.0459","11833371991.0669","11865986701.7258","11398616583.3299","10937870662.8023","10915922108.4064","10732928705.4913","10456675549.2826","10714274143.171","11026005730.832","11443905787.9123","11974420933.7157","12605057005.5101","12812599040.0935","13359606833.3496","13983135100.9362","14637304837.9041","15275687754.507","16032477212.7938","16838807367.9087","16910689781.9002","17334777888.1262","17626660726.9117","18064782966.6648","18554580623.7088","19328918118.4657","20183533307.223","21151739180.8768","22117185836.643","23477060537.7351","24265185360.0464","25266542246.0612","26581436461.7176","27943010890.6533","29842021104.1396","31471565408.6312","33000198248.9146","34407300587.1524","35850757840.6068","37364958928.4415","38193230080.2463","34855949803.3644","36986126802.9765","38319728337.5714","39500729033.6847","40047688830.4291",
